user_id,store_id,day,visits,purchases,purchase_amount,converted,session_time_minutes,feature_x,feature_flag,signup_days_ago,repeat_customer,rating
1,Store_A,2024-06-01,12,2,180.50,1,25.0,0.5,1,400,True,4.5
2,Store_A,2024-06-02,8,0,0.00,0,12.0,0.2,0,395,False,4.0
3,Store_A,2024-06-03,15,3,420.00,1,32.0,0.7,1,390,True,4.7
4,Store_A,2024-06-04,9,1,95.00,1,18.0,0.3,0,388,False,4.1
5,Store_B,2024-06-01,25,5,1200.00,1,55.0,1.2,1,410,True,5.0
6,Store_B,2024-06-02,20,3,760.00,1,48.0,0.9,1,408,True,4.8
7,Store_B,2024-06-03,22,4,820.00,1,50.0,1.1,1,405,True,4.6
8,Store_B,2024-06-04,18,2,300.00,1,42.0,0.6,0,402,False,4.2
9,Store_C,2024-06-01,5,0,0.00,0,5.0,0.1,0,120,False,3.5
10,Store_C,2024-06-02,6,1,60.00,1,7.0,0.25,0,118,False,3.9
11,Store_C,2024-06-03,4,0,0.00,0,6.0,0.05,0,115,False,3.2
12,Store_C,2024-06-04,7,1,95.00,1,9.0,0.3,1,112,True,4.0
13,Store_D,2024-06-01,30,10,1500.00,1,65.0,1.5,1,700,True,4.9
14,Store_D,2024-06-02,28,8,1100.00,1,60.0,1.3,1,698,True,4.8
15,Store_D,2024-06-03,32,12,1800.00,1,70.0,1.6,1,695,True,5.0
16,Store_D,2024-06-04,27,9,1300.00,1,58.0,1.4,1,693,True,4.7
17,Store_E,2024-06-01,3,0,0.00,0,4.0,0.05,0,30,False,3.0
18,Store_E,2024-06-02,2,0,0.00,0,3.5,0.02,0,28,False,2.8
19,Store_E,2024-06-03,4,1,40.00,1,6.0,0.15,0,27,False,3.6
20,Store_E,2024-06-04,5,0,0.00,0,7.0,0.1,0,25,False,3.4
21,Store_F,2024-06-01,10,1,60.00,1,15.0,0.4,1,250,False,3.8
22,Store_F,2024-06-02,12,2,140.00,1,18.0,0.55,1,248,True,4.0
23,Store_F,2024-06-03,9,1,95.00,1,14.0,0.35,0,246,False,3.9
24,Store_F,2024-06-04,11,3,210.00,1,20.0,0.6,1,244,True,4.2
25,Store_G,2024-06-01,40,15,2500.00,1,80.0,2.0,1,900,True,5.0
26,Store_G,2024-06-02,38,12,1800.00,1,75.0,1.8,1,898,True,4.9
27,Store_G,2024-06-03,42,16,3000.00,1,85.0,2.1,1,895,True,5.0
28,Store_G,2024-06-04,35,11,1650.00,1,70.0,1.7,1,893,True,4.8
29,Store_H,2024-06-01,7,0,0.00,0,8.0,0.12,0,60,False,3.3
30,Store_H,2024-06-02,6,1,45.00,1,7.5,0.2,0,58,False,3.7
31,Store_H,2024-06-03,8,2,110.00,1,9.0,0.3,0,55,False,4.0
32,Store_H,2024-06-04,9,1,60.00,1,10.0,0.25,1,53,True,4.1
33,Store_A,2024-06-05,14,4,360.00,1,28.0,0.6,1,387,True,4.6
34,Store_A,2024-06-06,11,1,95.00,1,20.0,0.25,0,386,False,4.0
35,Store_B,2024-06-05,19,3,700.00,1,45.0,0.95,1,400,True,4.7
36,Store_B,2024-06-06,21,4,780.00,1,50.0,1.05,1,399,True,4.6
