id,customer_id,date,region,age,gender,income,visits,purchases,purchase_amount,product_category,purchases_count,session_time_minutes,clicks,time_to_churn,churned,stock_level,price,feature1,feature2
1,C001,2024-01-01,North,34,F,42000,5,1,120.50,A,1,12.5,8,45,1,20,19.99,0.45,1.2
2,C002,2024-01-01,South,47,M,58000,12,4,560.00,B,4,48.0,25,150,1,10,49.99,0.90,0.8
3,C003,2024-01-02,East,22,F,18000,2,0,0.00,C,0,5.0,0,200,0,30,9.99,0.10,0.3
4,C004,2024-01-02,West,35,M,41000,7,2,250.75,A,2,30.0,12,60,1,25,24.50,0.60,1.0
5,C005,2024-01-03,North,31,F,38000,3,1,40.00,B,1,10.0,4,90,0,18,15.00,0.35,0.7
6,C006,2024-01-03,South,52,M,68000,20,10,1200.00,B,10,90.0,40,12,1,5,99.99,1.50,1.8
7,C007,2024-01-04,East,27,F,30000,4,1,80.00,C,1,7.5,3,250,0,40,7.50,0.20,0.2
8,C008,2024-01-04,North,40,M,47000,9,4,330.20,A,4,35.0,18,70,1,22,29.99,0.55,1.1
9,C009,2024-01-05,West,36,F,45000,6,2,210.00,B,2,22.0,6,85,1,15,19.50,0.48,0.9
10,C010,2024-01-05,South,29,M,35000,5,1,95.00,C,1,9.0,5,120,0,33,12.00,0.25,0.4
11,C011,2024-01-06,North,24,F,22000,1,0,0.00,C,0,4.0,0,300,0,60,5.00,0.12,0.1
12,C012,2024-01-06,South,50,M,61000,15,7,760.00,B,7,60.0,30,25,1,8,79.99,1.10,1.6
13,C013,2024-01-07,North,33,F,39000,8,3,199.99,A,3,28.0,10,110,1,28,22.00,0.65,0.95
14,C014,2024-01-07,East,26,F,28000,3,1,55.00,C,1,6.0,2,220,0,45,8.50,0.18,0.25
15,C015,2024-01-08,West,38,M,43000,10,4,420.00,A,4,50.0,20,75,1,12,34.99,0.72,1.05
16,C016,2024-01-08,South,41,F,52000,11,5,380.00,B,5,33.0,15,40,1,6,44.50,1.00,1.3
17,C017,2024-01-09,East,30,M,36000,2,1,30.00,C,1,5.5,1,270,0,55,6.00,0.22,0.15
18,C018,2024-01-09,North,47,F,48000,14,8,610.00,B,8,70.0,35,20,1,9,59.99,1.25,1.7
19,C019,2024-01-10,West,23,M,21000,1,0,0.00,C,0,3.5,0,320,0,80,4.99,0.08,0.05
20,C020,2024-01-10,North,34,F,40500,6,2,180.00,A,2,20.0,9,95,1,14,17.00,0.50,0.85
21,C021,2024-01-11,South,37,M,44000,7,3,210.00,B,3,26.0,11,100,1,16,21.00,0.58,0.92
22,C022,2024-01-11,East,29,F,33000,4,1,99.99,C,1,8.5,4,190,1,46,9.99,0.30,0.28
23,C023,2024-01-12,South,42,M,59000,13,6,700.00,B,6,85.0,38,18,1,7,89.99,1.20,1.5
24,C024,2024-01-12,North,25,F,26000,2,0,20.00,C,0,4.5,1,280,0,65,3.50,0.14,0.12
25,C025,2024-01-13,West,31,M,37500,5,2,140.00,A,2,18.0,7,140,1,30,16.50,0.42,0.6
26,C026,2024-01-13,East,28,F,31000,3,1,60.00,C,1,6.5,2,240,0,48,7.25,0.19,0.22
27,C027,2024-01-14,South,55,M,75000,22,12,1500.00,B,12,120.0,60,10,1,3,149.99,2.00,2.0
28,C028,2024-01-14,North,49,F,51000,16,8,820.00,B,8,55.0,28,22,1,7,95.00,1.40,1.6
29,C029,2024-01-15,West,32,M,39000,6,2,200.00,A,2,24.0,10,130,0,35,18.75,0.52,0.88
30,C030,2024-01-15,East,21,F,17000,1,0,0.00,C,0,2.5,0,350,0,90,2.50,0.05,0.02
31,C031,2024-01-16,South,44,M,42000,9,3,480.00,A,3,42.0,22,60,1,20,39.99,0.75,1.15
32,C032,2024-01-16,North,27,F,29500,1,0,75.00,C,0,7.0,3,210,0,55,6.99,0.28,0.3
33,C033,2024-01-17,West,39,M,26500,3,1,260.00,B,1,27.0,9,160,1,25,49.00,0.95,1.4
34,C034,2024-01-17,South,34,F,36000,2,1,160.00,A,1,16.0,6,170,1,45,27.50,0.60,0.9
35,C035,2024-01-18,East,48,M,48000,8,6,950.00,B,6,95.0,45,30,1,12,120.00,1.60,1.9
36,C036,2024-01-18,North,26,F,24000,1,0,45.00,C,0,6.0,2,260,0,70,5.50,0.16,0.2
37,C037,2024-01-19,West,33,M,33000,5,2,135.00,A,2,19.0,7,150,1,40,14.99,0.48,0.7
38,C038,2024-01-19,South,29,F,0,0,0,0.00,C,0,3.0,0,400,0,100,1.99,0.02,0.01
39,C039,2024-01-20,East,36,M,29500,4,1,305.00,A,1,32.0,14,110,1,28,32.50,0.68,1.05
40,C040,2024-01-20,North,22,F,15000,0,0,15.00,C,0,4.0,1,330,0,85,2.99,0.09,0.07
41,C041,2024-01-21,West,39,M,21000,3,1,210.00,B,1,25.0,11,140,1,50,20.00,0.55,0.8
42,C042,2024-01-21,South,45,F,50000,6,3,490.00,B,3,48.0,20,30,1,9,85.00,1.35,1.6
43,C043,2024-01-22,North,28,F,28500,2,1,85.00,C,1,9.0,3,210,0,62,7.75,0.24,0.27
44,C044,2024-01-22,East,30,M,31000,2,1,175.00,A,1,17.0,6,180,1,37,25.00,0.66,0.95
45,C045,2024-01-23,South,46,F,83000,9,6,820.00,B,6,80.0,36,20,1,8,110.00,1.80,1.85
46,C046,2024-01-23,West,24,M,19000,0,0,0.00,C,0,3.0,0,360,0,95,3.00,0.07,0.05
47,C047,2024-01-24,North,35,F,34500,3,1,145.00,A,1,21.0,8,170,0,72,18.00,0.40,0.6
48,C048,2024-01-24,South,51,M,91000,11,9,1300.00,B,9,110.0,50,15,1,4,199.99,2.20,2.3
49,C049,2024-01-25,East,27,F,9500,2,0,95.00,C,0,12.0,4,290,0,88,6.50,0.15,0.12
50,C050,2024-01-25,West,32,M,20500,5,2,205.00,A,2,29.0,10,160,1,33,21.00,0.52,0.78
51,C051,2024-01-26,North,29,F,41000,7,3,220.00,A,3,31.0,13,130,1,26,28.00,0.70,1.05
52,C052,2024-01-26,South,54,M,68000,14,10,1400.00,B,10,130.0,55,12,1,5,249.99,2.50,2.4
53,C053,2024-01-27,East,23,F,17500,1,0,0.00,C,0,5.0,0,340,0,98,2.00,0.06,0.04
54,C054,2024-01-27,West,37,M,39000,6,2,260.00,A,2,27.0,9,145,1,38,29.99,0.63,0.9
55,C055,2024-01-28,South,31,F,35000,4,1,150.00,B,1,18.0,6,210,0,60,17.50,0.44,0.6
56,C056,2024-01-28,North,28,M,34000,3,1,95.00,C,1,10.0,3,230,0,77,11.00,0.29,0.35
57,C057,2024-01-29,East,43,M,72000,12,7,900.00,B,7,85.0,40,22,1,10,99.00,1.70,1.7
58,C058,2024-01-29,West,26,F,26000,2,0,60.00,A,0,8.0,2,300,0,86,4.50,0.21,0.18
59,C059,2024-01-30,South,38,F,47000,8,4,320.00,B,4,36.0,15,90,1,14,49.99,1.05,1.2
