id,entity,date,return,price,volume,event_count,max_drawdown,feature1,feature2,feature3,feature4,feature5,treatment,outcome,censor_time,event_observed,group,heavy_tail
1,A,2024-01-01,0.005,100.5,1200,0,0.02,0.12,1.5,3.2,0.5,0,0,0,30,1,X,0.4
2,B,2024-01-01,-0.012,98.7,800,0,0.05,0.20,1.2,2.5,0.3,1,1,1,28,1,Y,1.2
3,C,2024-01-01,0.010,102.0,2300,0,0.01,0.05,0.9,1.8,0.7,0,0,0,45,1,X,0.3
4,A,2024-01-02,-0.045,96.3,1500,1,0.10,0.50,2.5,4.0,1.5,1,0,1,12,1,X,3.5
5,B,2024-01-02,0.020,100.7,900,0,0.03,0.10,1.1,2.2,0.4,0,1,0,20,1,Y,0.6
6,C,2024-01-02,-0.002,101.8,2100,0,0.02,0.07,1.0,1.9,0.6,0,0,0,50,1,X,0.2
7,A,2024-01-03,0.030,103.0,1800,0,0.01,0.03,0.8,1.7,0.2,0,0,0,33,1,Y,0.15
8,B,2024-01-03,-0.120,88.8,700,1,0.25,1.20,4.5,6.0,2.8,1,1,1,5,1,X,8.0
9,C,2024-01-03,0.008,103.8,2400,0,0.02,0.04,0.7,1.6,0.25,0,0,0,60,1,Y,0.18
10,A,2024-01-04,-0.008,102.1,1300,0,0.04,0.30,1.7,3.0,0.9,0,0,0,27,1,X,0.9
11,B,2024-01-04,0.004,99.1,850,0,0.03,0.15,1.3,2.6,0.35,1,1,1,22,1,Y,0.55
12,C,2024-01-04,-0.300,70.5,3000,1,0.40,2.50,6.0,9.0,5.0,0,0,1,2,1,X,25.0
13,A,2024-01-05,0.015,101.0,1100,0,0.02,0.09,1.0,2.0,0.45,0,0,0,35,1,Y,0.25
14,B,2024-01-05,-0.020,97.1,760,0,0.06,0.45,2.2,3.8,1.1,1,1,1,18,1,X,1.8
15,C,2024-01-05,0.025,105.5,2600,0,0.01,0.02,0.6,1.4,0.15,0,0,0,55,1,Y,0.12
