user_id,store_id,date,visits,purchases,purchase_amount,converted,session_time_minutes,device,campaign,geo_region,population_group,feature1,feature2,feature3,is_fraud,model_score,deployed,prediction_timestamp,drift_flag
1,Store_A,2024-05-01,12,2,180.5,1,25.0,web,Email,North,Group1,0.45,1.2,0.05,0,0.78,True,2024-06-01T08:00:00,0
2,Store_A,2024-05-02,8,0,0.0,0,12.0,mobile,Social,North,Group2,0.20,0.8,0.02,0,0.12,True,2024-06-01T08:05:00,0
3,Store_B,2024-05-01,25,5,1200.0,1,55.0,web,Ad,South,Group1,1.2,0.5,0.10,0,0.95,True,2024-06-01T08:10:00,0
4,Store_C,2024-05-01,5,0,0.0,0,5.0,mobile,Organic,East,Group3,0.05,0.2,0.01,0,0.05,False,2024-06-01T08:15:00,0
5,Store_B,2024-05-02,20,3,760.0,1,48.0,web,Ad,South,Group1,0.9,1.1,0.08,0,0.87,True,2024-06-01T08:20:00,0
6,Store_D,2024-05-03,30,10,1500.0,1,65.0,web,Promo,West,Group2,1.5,2.0,0.12,0,0.99,True,2024-06-01T08:25:00,0
7,Store_E,2024-05-03,3,0,0.0,0,4.0,mobile,Organic,North,Group3,0.02,0.05,0.01,0,0.02,False,2024-06-01T08:30:00,0
8,Store_A,2024-05-04,9,4,330.2,1,35.0,web,Email,North,Group1,0.8,1.4,0.07,0,0.82,True,2024-06-01T08:35:00,0
9,Store_C,2024-05-04,6,2,210.0,1,22.0,web,Organic,East,Group2,0.6,0.9,0.04,0,0.65,False,2024-06-01T08:40:00,0
10,Store_F,2024-05-04,10,1,60.0,1,15.0,mobile,Email,South,Group1,0.3,0.4,0.02,0,0.30,False,2024-06-01T08:45:00,0
11,Store_G,2024-05-05,40,15,2500.0,1,80.0,web,Promo,West,Group1,2.0,1.8,0.20,0,0.99,True,2024-06-01T08:50:00,0
12,Store_H,2024-05-05,7,0,0.0,0,8.0,mobile,Organic,South,Group3,0.07,0.12,0.01,0,0.04,False,2024-06-01T08:55:00,0
13,Store_A,2024-05-06,14,4,360.0,1,28.0,web,Email,North,Group2,0.7,1.0,0.06,0,0.76,True,2024-06-01T09:00:00,0
14,Store_B,2024-05-06,19,3,700.0,1,45.0,web,Ad,South,Group1,0.95,1.3,0.09,0,0.88,True,2024-06-01T09:05:00,0
15,Store_D,2024-05-06,29,11,1600.0,1,62.0,web,Promo,West,Group2,1.4,1.9,0.15,0,0.97,True,2024-06-01T09:10:00,0
16,Store_E,2024-05-06,4,1,45.0,1,9.0,mobile,Organic,North,Group3,0.12,0.25,0.02,0,0.18,False,2024-06-01T09:15:00,0
17,Store_F,2024-05-07,11,3,210.0,1,20.0,web,Email,South,Group1,0.5,0.95,0.03,0,0.58,True,2024-06-01T09:20:00,0
18,Store_G,2024-05-07,39,14,2600.0,1,82.0,web,Promo,West,Group1,2.1,2.2,0.22,0,0.98,True,2024-06-01T09:25:00,0
19,Store_H,2024-05-07,8,1,60.0,1,9.5,mobile,Organic,South,Group3,0.18,0.3,0.02,0,0.24,False,2024-06-01T09:30:00,0
20,Store_A,2024-05-08,13,3,300.0,1,26.0,web,Email,North,Group2,0.65,1.05,0.05,0,0.71,True,2024-06-01T09:35:00,0
21,Store_B,2024-05-08,23,5,900.0,1,52.0,web,Ad,South,Group1,1.1,1.6,0.11,0,0.91,True,2024-06-01T09:40:00,0
22,Store_C,2024-05-08,5,0,0.0,0,6.0,mobile,Organic,East,Group3,0.04,0.08,0.01,0,0.03,False,2024-06-01T09:45:00,0
23,Store_D,2024-05-09,31,13,1700.0,1,68.0,web,Promo,West,Group2,1.6,2.1,0.16,0,0.96,True,2024-06-01T09:50:00,0
24,Store_E,2024-05-09,3,0,0.0,0,4.0,mobile,Organic,North,Group3,0.02,0.04,0.01,0,0.01,False,2024-06-01T09:55:00,0
25,Store_F,2024-05-09,12,2,140.0,1,18.0,web,Email,South,Group1,0.4,0.7,0.03,0,0.45,True,2024-06-01T10:00:00,0
26,Store_G,2024-05-09,40,16,3100.0,1,90.0,web,Promo,West,Group1,2.3,2.5,0.25,0,0.99,True,2024-06-01T10:05:00,0
27,Store_H,2024-05-09,9,1,55.0,1,10.5,mobile,Organic,South,Group3,0.2,0.28,0.02,0,0.26,False,2024-06-01T10:10:00,0
28,Store_A,2024-05-10,10,2,210.0,1,22.0,web,Email,North,Group2,0.55,0.95,0.04,0,0.60,True,2024-06-01T10:15:00,0
29,Store_B,2024-05-10,19,3,650.0,1,46.0,web,Ad,South,Group1,0.88,1.25,0.09,0,0.85,True,2024-06-01T10:20:00,0
30,Store_C,2024-05-10,6,1,70.0,1,8.5,mobile,Organic,East,Group3,0.15,0.22,0.02,0,0.17,False,2024-06-01T10:25:00,0
31,Store_D,2024-05-10,30,10,1500.0,1,64.0,web,Promo,West,Group2,1.45,1.95,0.14,0,0.94,True,2024-06-01T10:30:00,0
